«Гранд Инвест Банк» (ОАО),1
ЗАО "МБ РУ",4
ООО "МОДИШ",5
ООО "ТД "Цифра",8
ООО "САТПРОФ",11
ООО "ЭКСПОРУ",20
ООО "ЮФ "Веритас",21
ООО "Линквуд Экспо",23
ООО "СОВИНК",24
ООО "Диалог",25
ООО "Проммаш",35
ООО "Канотье",37
ООО "ВоенОптТорг",45
ЗАО "Молмаш Комплект",19
ООО "Техкранкомплект",51
ООО "Линия",52
ООО "ДХЗ-Производство",54
ООО "Элемент Резерв",63
ООО "СпецЖилРемонт",31
ООО "Экобетон",67
ООО "Ивент-Пресс",69
ООО "Волшебный Мир",68
ООО "ГРАНД Трэвел",18
ООО "Столичный сервис",65
ООО "СП",46
ООО "Твое-Авто",70
ООО "СУЗУКИ-НЕВА",89
ООО "ЛегПромСервис",73
ЗАО "Издательство "П.Юргенсон",76
ООО "Пластполимер",81
ООО "Технокровля",82
ИП Абрамова Светлана Яковлевна,83
ООО "НордВестСтрой",84
«Гранд Инвест Банк» (ОАО),85
ИП Огиевская Оксана Дмитриевна,92
ООО "ТрастПрофКонсалтинг",94
ООО "Барвил",97
ООО "НАДЕЖДА",103
ООО "Дефа-М",107
ООО "Ирландский паб "Моллис",108
ООО "Мир лекарств",110
ЗАО "АДП",116
ООО "ТКЦ Центрум",117
ООО "ИБЕРИЯ",120
ООО "Виартон",124
ООО "Комбинат детского питания",125
ИП Рассолов Олег Александрович,127
ООО "ОТЭКС-ГАЗ",128
ООО "МолАгроТорг",130
ООО "ПЛА Консалтинг",132
ООО "КАБЕЛЬ",135
ООО "РуСТ",136
ЗАО "РосИнформУголь",138
ООО ЧОП "Скарабей",139
ННОУ "Уникар Р",140
ЗАО "ПРАЛЕКС",102
АНО "ННПОСМП",86
ЗАО "ВИСТЕХ",75
ООО "СтройСервис",12
ООО "АРСИКА",27
ООО "ТЕХПРОГРЕСС",31
ООО "Дизайн-бюро Артема Горбунова",33
МОО "Этножизнь",122
ООО "ЕТТИ",60
ООО "СК "ЭНИОН",46
Учебный центр "ПРОФИТ",49
ООО "ФлораСервис",141
ООО "НьюЛайн",142
ООО ЧОП "Застава-1",143
ООО "Оргстрой",91
ООО "ТРАНС АГ",99
НОЧУ "ААА Английский от АнгличАн",147
ООО "Норд-Вест Логистик",149
ООО "Агро-Бим",151
ООО "ВалВад",152
ООО "Пиксел СТ",153
ООО "РОСТАГРОТОРГ",154
ООО "Созвездие-Р",36
ООО "Графитех",160
ООО "Одиссей",161
ООО "Фитнес Элит",164
ООО "Кулон",168
ООО "ИНВЕСТСТРОЙКОМПЛЕКС+",123
ООО "РОСТ",171
ЗАО "Ростагроэкспорт",172
Фонд поддержки спорта "Новая перспектива",179
ООО "АСЕССОР",180
ООО "ПРОФИ-Инвест",181
ООО "МК "Сторосс",183
ООО "ПромоСтайл",184
ООО "РостАгроТрейд",55
ООО "ТК Северный мост",115
ООО "Аверс",185
ООО "Центр офисной мебели",78
ООО "АТЛАНТ-ЛИЗИНГ",133
КТ "Социальная инициатива и компания",187
ООО "Витаклон",188
ООО "АйТи-Уоркс",190
ЗАО "Петроинвест",191
ООО "ЮниСервис",193
ООО "Свой дом",194
Пушкинский местный общественный фонд поддержки Всероссийской,195
ООО "ИНЕРКО",197
ЗАО "Програмпроминвест",111
ООО "СЛС",198
Индивидуальный предприниматель Григорьев Андрей Владимирович,74
НОУ ВПО "МИЭЭ",200
ООО "ЭСКОРТ",201
ООО "Экон",202
ЗАО "ЛК "ПромРегионЛизинг",203
ООО "Византия",62
НОУ ВПО "МИПП",58
ЗАО "МОЛМАШ СЕРВИС",162
ООО "ТД ПРОСТОР",79
ООО ПКФ "Техпром",204
ООО КТК "КЛИНИК ДЮРЭ",208
ЗАО "АО АФС",209
ООО "Грин-Лайф",56
ООО "1 Маркетинг",210
ООО "НБД",7
ИП Шаблинский Виталий Александрович,211
ООО "ГарантСтрой",212
ИП Коренев Вячеслав Геннадиевич,213
ООО "ПРОСПЕРИТИ",214
ООО "ПрофессионалСтрой-1",88
"«Гранд Инвест Банк» (ОАО), Рязань, для НБКИ",220
ИП Падом Алексей Евгеньевич,98
ООО "ЦЕНТУРИОН-ТАУЭР",9
ООО "АКФ-3",17
ООО "БИОТЭК",109
ООО "Ти Ди Эс Лэнгвич Скул",166
ЗАО "ФИРМА "АЛГОНИК",29
ООО "Новый офис",119
ООО "НеоДин",218
ООО "ЛИГА-СТРОЙ",215
ООО "Диагем",50
ЗАО "АТ Медикал",30
ООО "Аврора",217
ООО "Сателлит",28
Индивидуальный предприниматель Костина Людмила Геннадьевна,90
ООО "Невская лизинговая компания",80
ООО "Беамед",156
ООО "ТоргСервис",14
ООО "ОК "ЦИТАДЕЛЬ",167
АМО ЗИЛ,177
"АГН, Фонд поддержки ГГМ им. В.И.Вернадского",16
ООО "Канотье",222
ООО "Тишково",22
ООО "ТУРПАРАД",137
Фонд "Институт стратегической безопасности",30
ООО "РИФ",39
ЗАО "Фирма Векта-М",42
ОАО "Павловский завод",225
ООО "Ресурс",230
ООО "Эй-Би-Рейл",232
ООО "ТЭК Инвест Добыча",234
ОАО "СПбЗНИиПИ",235
ООО "Дизайн-бюро Артема Горбунова",61
ООО "Рэндом",43
